date,symbol,open_price,high_price,low_price,close_price,volume,daily_change,daily_change_pct,sector,market_cap,pe_ratio,dividend_yield,ma_7,ma_30,signal
2024-03-08,MSFT,370.92,377.5,360.97,367.8,57316017,-3.13,-0.84,Technology,Mega Cap,42.82,1.95,365.3,365.35,Sell
2024-03-08,TSLA,250.75,254.48,247.14,248.52,64301106,-2.23,-0.89,Technology,Large Cap,25.93,0.37,245.39,245.06,Buy
2024-03-09,AAPL,168.51,170.78,165.26,168.09,17487548,-0.42,-0.25,Technology,Large Cap,46.19,0.36,170.72,171.24,Sell
2024-03-09,AMZN,150.45,151.91,148.13,150.78,72664672,0.33,0.22,Technology,Large Cap,18.52,1.71,157.07,160.15,Sell
2024-03-09,GOOGL,136.16,137.83,132.73,135.1,27674377,-1.07,-0.78,Technology,Mega Cap,30.47,0.05,137.01,139.17,Sell
2024-03-09,MSFT,374.12,379.33,366.45,370.98,42593845,-3.14,-0.84,Technology,Large Cap,30.39,0.78,366.3,365.98,Buy
2024-03-09,TSLA,252.44,253.53,248.0,252.67,59323134,0.22,0.09,Technology,Mega Cap,35.56,1.8,247.43,245.91,Buy
2024-03-10,AAPL,174.05,174.81,172.24,174.07,24408994,0.02,0.01,Technology,Large Cap,40.32,0.03,170.99,171.52,Sell
2024-03-10,AMZN,151.35,154.97,148.92,151.96,77076152,0.61,0.4,Technology,Mega Cap,24.33,0.49,155.07,159.33,Sell
2024-03-10,GOOGL,135.13,137.37,133.28,135.65,66129723,0.52,0.39,Technology,Mega Cap,29.33,0.59,135.69,138.82,Sell
2024-03-10,MSFT,371.09,376.48,371.02,372.74,91160492,1.65,0.44,Technology,Large Cap,34.52,0.06,367.8,366.66,Buy
2024-03-10,TSLA,254.01,258.4,251.52,255.39,54604207,1.39,0.55,Technology,Mega Cap,45.59,1.29,249.72,246.86,Buy
2024-03-11,AAPL,177.35,179.12,174.89,178.57,38688978,1.22,0.69,Technology,Large Cap,46.84,0.44,171.61,172.16,Sell
2024-03-11,AMZN,151.08,151.96,146.85,149.61,86385037,-1.47,-0.97,Technology,Large Cap,46.57,0.4,153.64,158.45,Sell
2024-03-11,GOOGL,135.05,135.95,133.5,135.55,95628017,0.5,0.37,Technology,Mega Cap,37.56,1.5,134.43,138.52,Sell
2024-03-11,MSFT,370.73,371.97,365.13,371.62,84277611,0.89,0.24,Technology,Mega Cap,47.78,0.79,367.77,367.11,Buy
2024-03-11,TSLA,254.88,259.96,252.87,254.19,27289747,-0.7,-0.27,Technology,Large Cap,16.57,0.14,250.88,247.52,Buy
2024-03-12,AAPL,185.68,189.37,183.04,186.19,45364996,0.51,0.27,Technology,Large Cap,25.67,0.8,173.37,173.33,Buy
2024-03-12,AMZN,148.45,148.9,145.79,148.68,41270455,0.22,0.15,Technology,Mega Cap,18.96,1.81,152.79,157.63,Sell
2024-03-12,GOOGL,140.31,143.45,138.9,140.94,82481665,0.63,0.45,Technology,Mega Cap,26.89,1.19,134.56,138.72,Sell
2024-03-12,MSFT,373.87,375.94,365.48,371.4,47524818,-2.46,-0.66,Technology,Mega Cap,41.04,1.13,368.41,367.46,Buy
2024-03-12,TSLA,251.56,255.68,249.66,250.86,63005347,-0.7,-0.28,Technology,Mega Cap,48.15,0.5,250.61,247.8,Buy
2024-03-13,AAPL,191.31,193.96,190.38,190.96,45898866,-0.36,-0.19,Technology,Large Cap,27.88,1.75,176.23,174.69,Buy
2024-03-13,AMZN,153.29,153.88,150.44,152.18,11914824,-1.11,-0.72,Technology,Large Cap,29.11,0.06,152.2,157.21,Sell
2024-03-13,GOOGL,142.55,144.91,140.88,143.88,32342689,1.33,0.93,Technology,Large Cap,39.03,1.84,136.0,139.12,Sell
2024-03-13,MSFT,373.98,377.46,369.32,376.46,22800232,2.49,0.66,Technology,Large Cap,35.38,1.4,370.46,368.16,Buy
2024-03-13,TSLA,241.25,243.01,240.8,242.96,41837061,1.71,0.71,Technology,Mega Cap,32.5,0.37,249.89,247.43,Buy
2024-03-14,AAPL,186.65,190.5,185.75,188.42,89632451,1.77,0.95,Technology,Mega Cap,38.15,1.69,178.77,175.67,Buy
2024-03-14,AMZN,152.24,154.1,149.51,152.88,78150165,0.64,0.42,Technology,Large Cap,34.45,1.5,151.83,156.9,Sell
2024-03-14,GOOGL,145.63,146.99,144.95,146.68,56907500,1.04,0.72,Technology,Large Cap,24.48,0.81,138.35,139.66,Sell
2024-03-14,MSFT,380.17,388.47,378.44,383.79,60193272,3.61,0.95,Technology,Mega Cap,39.81,1.7,373.54,369.27,Buy
2024-03-14,TSLA,241.26,243.82,237.98,240.14,64727588,-1.13,-0.47,Technology,Mega Cap,34.99,0.42,249.25,246.91,Buy
2024-03-15,AAPL,192.37,194.04,191.01,192.82,25397364,0.44,0.23,Technology,Mega Cap,17.06,0.96,182.73,176.81,Buy
2024-03-15,AMZN,154.43,155.45,153.0,153.47,32774057,-0.96,-0.62,Technology,Large Cap,17.5,0.81,151.37,156.67,Sell
2024-03-15,GOOGL,145.65,146.29,143.46,146.11,21613373,0.46,0.32,Technology,Mega Cap,48.52,1.17,140.56,140.09,Buy
2024-03-15,MSFT,393.15,396.35,385.75,395.67,36820528,2.52,0.64,Technology,Large Cap,42.06,1.1,377.52,371.03,Buy
2024-03-15,TSLA,241.71,242.37,236.41,240.07,59258548,-1.63,-0.68,Technology,Large Cap,42.57,1.26,248.04,246.45,Buy
2024-03-16,AAPL,193.66,195.9,192.38,193.57,92789436,-0.08,-0.04,Technology,Large Cap,46.69,0.42,186.37,177.86,Buy
2024-03-16,AMZN,150.77,151.07,147.7,149.59,86340493,-1.19,-0.79,Technology,Large Cap,45.34,0.32,151.2,156.23,Sell
2024-03-16,GOOGL,143.48,145.87,142.88,143.34,55157125,-0.15,-0.1,Technology,Mega Cap,38.71,1.87,141.74,140.29,Buy
2024-03-16,MSFT,415.11,422.24,403.88,411.7,46097442,-3.4,-0.82,Technology,Large Cap,16.01,1.14,383.34,373.57,Buy
2024-03-16,TSLA,239.33,240.89,239.19,239.26,34113672,-0.07,-0.03,Technology,Large Cap,31.59,0.26,246.12,246.0,Buy
2024-03-17,AAPL,195.93,199.78,193.36,194.37,60792313,-1.56,-0.8,Technology,Large Cap,27.32,1.27,189.27,178.83,Buy
2024-03-17,AMZN,149.47,150.92,149.23,150.05,24863195,0.58,0.39,Technology,Large Cap,25.58,0.06,150.92,155.87,Sell
2024-03-17,GOOGL,147.22,149.05,146.91,147.56,38467307,0.35,0.23,Technology,Mega Cap,47.65,0.4,143.44,140.72,Buy
2024-03-17,MSFT,398.84,405.17,392.9,398.29,34037650,-0.55,-0.14,Technology,Mega Cap,18.31,0.44,386.99,375.03,Buy
2024-03-17,TSLA,249.09,252.93,248.29,249.97,67529603,0.89,0.36,Technology,Mega Cap,31.35,0.23,245.35,246.24,Sell
2024-03-18,AAPL,188.62,189.26,183.53,187.22,41447343,-1.4,-0.74,Technology,Mega Cap,17.78,0.86,190.51,179.3,Buy
2024-03-18,AMZN,149.42,149.97,146.79,148.69,42453892,-0.72,-0.48,Technology,Mega Cap,44.99,1.63,150.79,155.47,Sell
2024-03-18,GOOGL,143.89,144.67,140.3,143.03,93195870,-0.86,-0.6,Technology,Large Cap,21.0,0.38,144.51,140.85,Buy
2024-03-18,MSFT,395.21,400.82,394.71,397.92,51899795,2.71,0.69,Technology,Mega Cap,31.15,1.73,390.75,376.3,Buy
2024-03-18,TSLA,246.07,248.01,243.64,246.85,97426592,0.78,0.32,Technology,Large Cap,17.41,0.39,244.3,246.27,Sell
2024-03-19,AAPL,186.61,186.96,185.33,186.44,93482581,-0.18,-0.1,Technology,Mega Cap,16.96,0.14,190.54,179.67,Buy
2024-03-19,AMZN,150.95,153.9,147.06,149.73,94383623,-1.23,-0.81,Technology,Large Cap,21.19,0.16,150.94,155.17,Sell
2024-03-19,GOOGL,143.9,145.85,142.15,143.14,62406590,-0.76,-0.53,Technology,Large Cap,20.51,1.28,144.82,140.97,Buy
2024-03-19,MSFT,405.05,406.69,399.13,403.56,84834268,-1.49,-0.37,Technology,Mega Cap,42.48,1.25,395.34,377.73,Buy
2024-03-19,TSLA,247.67,252.01,240.48,245.31,71884456,-2.36,-0.95,Technology,Mega Cap,45.35,0.52,243.51,246.22,Sell
2024-03-20,AAPL,181.17,183.11,179.66,181.26,33025863,0.09,0.05,Technology,Mega Cap,20.81,1.56,189.16,179.75,Buy
2024-03-20,AMZN,154.31,155.14,152.08,155.02,17702900,0.71,0.46,Technology,Mega Cap,38.94,1.82,151.35,155.16,Sell
2024-03-20,GOOGL,144.67,146.72,141.85,143.46,81478312,-1.2,-0.83,Technology,Mega Cap,47.07,0.26,144.76,141.09,Buy
2024-03-20,MSFT,416.83,424.72,412.2,418.96,32621712,2.14,0.51,Technology,Large Cap,21.85,1.79,401.41,379.8,Buy
2024-03-20,TSLA,243.44,247.86,241.54,244.96,15316859,1.51,0.62,Technology,Large Cap,31.73,1.84,243.79,246.16,Sell
2024-03-21,AAPL,178.33,178.72,175.38,177.74,89907111,-0.59,-0.33,Technology,Large Cap,29.12,0.36,187.63,179.66,Buy
2024-03-21,AMZN,164.03,165.78,161.6,165.11,80764240,1.08,0.66,Technology,Mega Cap,34.82,0.33,153.09,155.63,Sell
2024-03-21,GOOGL,143.64,144.06,142.24,142.97,73797776,-0.67,-0.46,Technology,Large Cap,32.73,0.75,144.23,141.18,Buy
2024-03-21,MSFT,417.99,428.49,417.78,421.62,72188132,3.63,0.87,Technology,Mega Cap,29.25,1.54,406.82,381.79,Buy
2024-03-21,TSLA,246.5,249.16,245.94,246.39,61352375,-0.11,-0.04,Technology,Large Cap,37.82,0.59,244.69,246.17,Sell
2024-03-22,AAPL,172.35,176.02,171.43,173.92,89321229,1.57,0.91,Technology,Large Cap,43.52,0.67,184.93,179.4,Buy
2024-03-22,AMZN,166.11,166.86,162.13,165.09,54515587,-1.02,-0.61,Technology,Mega Cap,46.52,0.43,154.75,156.06,Sell
2024-03-22,GOOGL,138.32,140.04,137.44,138.02,61072501,-0.3,-0.22,Technology,Large Cap,45.14,0.02,143.07,141.04,Buy
2024-03-22,MSFT,418.27,423.11,414.96,422.11,75527809,3.84,0.92,Technology,Mega Cap,42.37,1.6,410.59,383.62,Buy
2024-03-22,TSLA,245.73,252.1,245.58,248.14,79264936,2.41,0.98,Technology,Mega Cap,33.27,1.05,245.84,246.26,Sell
2024-03-23,AAPL,174.59,177.22,174.06,174.33,87345016,-0.26,-0.15,Technology,Mega Cap,36.58,1.85,182.18,179.18,Buy
2024-03-23,AMZN,168.08,171.46,167.81,168.85,81408545,0.77,0.46,Technology,Mega Cap,23.01,1.02,157.51,156.62,Buy
2024-03-23,GOOGL,138.11,140.18,137.18,138.17,92699157,0.06,0.05,Technology,Large Cap,44.08,0.03,142.34,140.91,Buy
2024-03-23,MSFT,412.53,420.88,410.94,415.18,52856468,2.64,0.64,Technology,Mega Cap,25.02,1.68,411.09,384.99,Buy
2024-03-23,TSLA,241.38,243.31,238.05,240.55,75811237,-0.83,-0.34,Technology,Mega Cap,20.46,1.4,246.02,246.01,Buy
2024-03-24,AAPL,173.51,176.68,171.09,174.98,17341163,1.47,0.85,Technology,Mega Cap,34.68,0.24,179.41,179.0,Buy
2024-03-24,AMZN,167.57,168.72,165.94,167.08,18532170,-0.49,-0.29,Technology,Large Cap,25.36,0.47,159.94,157.06,Buy
2024-03-24,GOOGL,139.66,140.03,138.32,138.91,65678268,-0.75,-0.54,Technology,Mega Cap,15.71,1.98,141.1,140.83,Buy
2024-03-24,MSFT,414.44,418.5,408.47,417.44,67632910,3.01,0.73,Technology,Large Cap,30.53,1.21,413.83,386.34,Buy
2024-03-24,TSLA,250.57,255.44,247.52,250.56,36541600,-0.01,-0.0,Technology,Mega Cap,42.48,1.48,246.11,246.2,Sell
2024-03-25,AAPL,176.89,179.87,176.87,177.01,59643345,0.11,0.06,Technology,Mega Cap,34.78,0.85,177.95,178.92,Sell
2024-03-25,AMZN,168.5,171.72,168.15,168.78,96085655,0.28,0.17,Technology,Mega Cap,32.34,0.98,162.81,157.52,Buy
2024-03-25,GOOGL,138.24,139.83,137.04,138.54,21081822,0.31,0.22,Technology,Mega Cap,28.88,1.81,140.46,140.74,Sell
2024-03-25,MSFT,422.84,430.08,420.19,422.29,99026287,-0.55,-0.13,Technology,Mega Cap,24.77,0.5,417.31,387.78,Buy
2024-03-25,TSLA,247.33,250.49,246.77,248.22,54011838,0.89,0.36,Technology,Large Cap,30.02,0.8,246.3,246.28,Buy
2024-03-26,AAPL,174.47,176.14,172.06,175.22,84955287,0.74,0.43,Technology,Mega Cap,37.26,0.06,176.35,178.78,Sell
2024-03-26,AMZN,161.93,164.37,160.62,163.05,65895249,1.13,0.7,Technology,Large Cap,42.09,0.59,164.71,157.74,Buy
2024-03-26,GOOGL,139.68,141.07,135.86,138.59,80846967,-1.09,-0.78,Technology,Large Cap,38.06,1.82,139.81,140.66,Sell
2024-03-26,MSFT,423.35,429.41,410.91,419.26,77917020,-4.09,-0.97,Technology,Mega Cap,33.98,1.71,419.55,388.99,Buy
2024-03-26,TSLA,248.92,252.69,243.48,247.99,48041081,-0.94,-0.38,Technology,Large Cap,23.22,1.5,246.69,246.34,Buy
2024-03-27,AAPL,173.33,176.55,173.1,174.66,68802838,1.32,0.76,Technology,Mega Cap,41.29,1.02,175.41,178.63,Sell
2024-03-27,AMZN,166.73,169.76,163.44,168.27,68877398,1.54,0.92,Technology,Mega Cap,26.02,0.88,166.6,158.13,Buy
2024-03-27,GOOGL,140.66,142.14,140.58,140.58,51024602,-0.08,-0.06,Technology,Large Cap,21.46,0.02,139.4,140.65,Sell
2024-03-27,MSFT,426.66,432.53,417.58,425.36,33229785,-1.3,-0.31,Technology,Large Cap,43.16,0.85,420.47,390.34,Buy
2024-03-27,TSLA,248.14,248.55,244.95,247.17,71214867,-0.97,-0.39,Technology,Large Cap,43.39,1.29,247.0,246.38,Buy
2024-03-28,AAPL,182.11,183.21,178.81,180.59,98142430,-1.52,-0.83,Technology,Mega Cap,42.73,1.04,175.82,178.7,Sell
2024-03-28,AMZN,167.8,168.78,166.32,166.77,39194320,-1.03,-0.61,Technology,Mega Cap,38.54,0.3,166.84,158.44,Buy
2024-03-28,GOOGL,134.8,137.5,134.56,135.25,18163015,0.44,0.33,Technology,Large Cap,32.46,1.55,138.29,140.46,Sell
2024-03-28,MSFT,434.54,440.38,426.5,438.84,82579534,4.31,0.99,Technology,Mega Cap,15.02,1.75,422.93,392.07,Buy
2024-03-28,TSLA,242.33,244.91,239.7,240.02,18216229,-2.31,-0.95,Technology,Mega Cap,38.96,1.92,246.09,246.15,Sell
2024-03-29,AAPL,185.39,187.5,184.71,185.72,38918700,0.33,0.18,Technology,Mega Cap,41.17,1.07,177.5,178.94,Sell
2024-03-29,AMZN,169.46,172.41,165.94,169.26,77893440,-0.2,-0.12,Technology,Mega Cap,35.68,0.5,167.44,158.81,Buy
2024-03-29,GOOGL,136.3,137.39,134.41,135.22,25970459,-1.08,-0.79,Technology,Mega Cap,19.11,0.32,137.89,140.28,Sell
2024-03-29,MSFT,431.48,440.26,427.83,433.17,70467659,1.69,0.39,Technology,Large Cap,20.14,1.24,424.51,393.49,Buy
2024-03-29,TSLA,236.91,241.53,234.23,237.54,67395588,0.63,0.27,Technology,Mega Cap,47.23,1.73,244.58,245.85,Sell
2024-03-30,AAPL,183.03,186.31,182.4,184.48,71559027,1.44,0.79,Technology,Large Cap,18.2,0.93,178.95,179.12,Sell
2024-03-30,AMZN,166.89,167.62,166.35,167.09,85264424,0.21,0.13,Technology,Mega Cap,22.02,0.29,167.19,159.08,Buy
2024-03-30,GOOGL,139.75,142.29,137.23,138.46,16383087,-1.29,-0.92,Technology,Large Cap,49.29,0.4,137.94,140.22,Sell
2024-03-30,MSFT,420.79,422.86,414.63,417.58,70104881,-3.21,-0.76,Technology,Large Cap,44.94,0.12,424.85,394.29,Buy
2024-03-30,TSLA,245.69,249.89,242.63,244.58,91300332,-1.11,-0.45,Technology,Large Cap,41.4,0.63,245.15,245.81,Sell
2024-03-31,AAPL,175.63,178.09,175.3,177.24,31442491,1.6,0.91,Technology,Mega Cap,25.52,0.82,179.27,179.32,Sell
2024-03-31,AMZN,165.92,170.28,165.53,167.27,92812110,1.35,0.81,Technology,Large Cap,37.88,1.93,167.21,158.95,Buy
2024-03-31,GOOGL,135.52,137.72,132.47,135.07,64415401,-0.45,-0.33,Technology,Large Cap,45.04,1.86,137.39,139.81,Sell
2024-03-31,MSFT,418.23,422.0,416.94,418.14,70142946,-0.09,-0.02,Technology,Large Cap,30.74,0.87,424.95,396.04,Buy
2024-03-31,TSLA,250.11,252.81,248.52,249.27,77634695,-0.83,-0.33,Technology,Mega Cap,18.19,0.09,244.97,246.03,Sell
2024-04-01,AAPL,176.96,178.62,174.08,177.41,57538497,0.45,0.26,Technology,Mega Cap,15.19,0.97,179.33,179.41,Sell
2024-04-01,AMZN,170.13,172.85,168.76,169.99,18949218,-0.14,-0.08,Technology,Large Cap,29.63,1.57,167.39,158.93,Buy
2024-04-01,GOOGL,131.94,134.97,131.68,132.39,95525900,0.45,0.34,Technology,Mega Cap,16.41,0.88,136.51,139.35,Sell
2024-04-01,MSFT,409.95,415.99,402.51,408.44,79753605,-1.51,-0.37,Technology,Large Cap,19.29,0.22,422.97,397.52,Buy
2024-04-01,TSLA,250.1,252.73,246.64,250.15,80116901,0.05,0.02,Technology,Mega Cap,31.05,1.1,245.25,246.42,Sell
2024-04-02,AAPL,178.83,180.06,174.36,177.19,81896169,-1.64,-0.92,Technology,Large Cap,23.69,1.21,179.61,179.58,Buy
2024-04-02,AMZN,166.54,170.55,165.06,167.48,68445548,0.94,0.56,Technology,Mega Cap,20.29,0.22,168.02,158.98,Buy
2024-04-02,GOOGL,131.09,132.98,130.91,131.01,71823952,-0.08,-0.06,Technology,Large Cap,40.5,0.64,135.43,138.89,Sell
2024-04-02,MSFT,403.46,408.02,397.47,404.52,69718315,1.06,0.26,Technology,Large Cap,43.48,1.58,420.86,398.93,Buy
2024-04-02,TSLA,252.05,256.03,246.91,251.95,13333698,-0.1,-0.04,Technology,Mega Cap,30.36,0.09,245.81,246.84,Sell
2024-04-03,AAPL,173.36,177.16,171.34,174.04,74124318,0.68,0.39,Technology,Large Cap,45.29,0.05,179.52,179.57,Sell
2024-04-03,AMZN,163.31,165.39,160.76,163.06,78615327,-0.26,-0.16,Technology,Mega Cap,34.95,1.3,167.27,159.1,Buy
2024-04-03,GOOGL,129.47,131.89,128.22,129.35,60062294,-0.13,-0.1,Technology,Large Cap,18.39,1.3,133.82,138.39,Sell
2024-04-03,MSFT,412.3,422.92,406.47,416.38,97206325,4.08,0.99,Technology,Mega Cap,24.72,1.66,419.58,400.42,Buy
2024-04-03,TSLA,246.66,250.21,243.41,248.29,65191799,1.63,0.66,Technology,Large Cap,20.03,0.46,245.97,246.91,Sell
2024-04-04,AAPL,172.67,177.64,171.85,174.18,43686296,1.51,0.87,Technology,Mega Cap,49.44,1.15,178.61,179.58,Sell
2024-04-04,AMZN,164.07,165.12,163.13,163.44,52392889,-0.63,-0.38,Technology,Mega Cap,44.2,1.53,166.8,159.39,Buy
2024-04-04,GOOGL,131.7,133.58,129.75,131.46,81999545,-0.24,-0.18,Technology,Mega Cap,35.61,1.74,133.28,138.1,Sell
2024-04-04,MSFT,406.68,408.94,401.21,403.72,12280953,-2.97,-0.73,Technology,Mega Cap,39.91,1.49,414.56,401.64,Buy
2024-04-04,TSLA,250.71,251.13,244.5,248.27,99365543,-2.44,-0.97,Technology,Large Cap,15.83,1.62,247.15,246.76,Buy
2024-04-05,AAPL,168.62,169.97,165.67,168.18,46106733,-0.44,-0.26,Technology,Large Cap,15.21,0.73,176.1,179.49,Sell
2024-04-05,AMZN,165.43,168.4,162.84,165.06,22717194,-0.37,-0.22,Technology,Large Cap,44.49,0.3,166.2,159.68,Buy
2024-04-05,GOOGL,128.92,130.92,128.04,129.02,20514924,0.1,0.07,Technology,Large Cap,45.05,0.76,132.39,137.94,Sell
2024-04-05,MSFT,394.29,397.67,391.48,394.56,47499703,0.27,0.07,Technology,Large Cap,36.98,1.82,409.05,402.72,Buy
2024-04-05,TSLA,245.13,249.62,241.62,246.61,93991622,1.48,0.6,Technology,Large Cap,43.35,0.36,248.45,246.72,Buy
2024-04-06,AAPL,164.42,165.39,162.03,164.1,12357694,-0.32,-0.19,Technology,Large Cap,37.81,1.91,173.19,179.27,Sell
2024-04-06,AMZN,165.05,165.24,163.88,164.97,61402945,-0.08,-0.05,Technology,Large Cap,44.76,1.87,165.9,160.0,Buy
2024-04-06,GOOGL,131.31,132.8,128.05,130.51,89504672,-0.8,-0.61,Technology,Mega Cap,45.09,1.5,131.26,137.95,Sell
2024-04-06,MSFT,390.97,399.18,389.07,393.53,95732980,2.56,0.65,Technology,Mega Cap,48.12,0.17,405.61,403.77,Buy
2024-04-06,TSLA,256.7,258.56,256.05,256.27,77002042,-0.43,-0.17,Technology,Mega Cap,27.89,1.07,250.12,247.1,Buy
2024-04-07,AAPL,164.51,167.48,161.91,164.59,33882177,0.08,0.05,Technology,Large Cap,45.51,1.42,171.38,179.25,Sell
2024-04-07,AMZN,166.76,168.83,163.85,167.33,44348033,0.57,0.34,Technology,Mega Cap,22.91,1.37,165.9,160.35,Buy
2024-04-07,GOOGL,129.25,131.97,128.64,130.52,49699684,1.27,0.98,Technology,Large Cap,16.05,1.76,130.61,137.95,Sell
2024-04-07,MSFT,393.41,396.08,391.11,395.35,39081385,1.94,0.49,Technology,Large Cap,19.24,0.29,402.36,404.69,Sell
2024-04-07,TSLA,257.34,259.05,253.11,258.96,96295822,1.63,0.63,Technology,Mega Cap,49.89,1.48,251.5,247.45,Buy
2024-04-08,AAPL,165.63,166.8,161.34,164.4,23389989,-1.23,-0.74,Technology,Mega Cap,37.32,0.14,169.53,179.13,Sell
2024-04-08,AMZN,164.2,164.46,163.4,164.33,76167637,0.13,0.08,Technology,Mega Cap,40.26,1.34,165.1,160.8,Buy
2024-04-08,GOOGL,128.67,129.67,128.08,129.6,73786802,0.93,0.72,Technology,Mega Cap,30.75,0.05,130.21,137.77,Sell
